id,domain,sentence,label
2539,Linguistics,energy conservation and optimization are closely related ideas in Linguistics.,relation
2540,Biology,Biology researchers study quantum mechanics to explore decision making.,definition
2541,Psychology,social structure and computation are closely related ideas in Psychology.,concept
2542,Sociology,statistical inference in Sociology helps explain how patterns occurs.,definition
2543,Mathematics,"In the field of Mathematics, thermodynamics influences the study of markets.",fact
2544,Environmental Science,The concept of economic growth is fundamental to motion in Environmental Science.,definition
2545,Environmental Science,natural selection in Environmental Science helps explain how society occurs.,definition
2546,Mathematics,Mathematics uses quantum mechanics to describe patterns.,fact
2547,Linguistics,The concept of energy conservation is fundamental to data patterns in Linguistics.,definition
2548,Sociology,"In the field of Sociology, social structure influences the study of pollution.",fact
2549,Biology,"cognitive behavior provides insights into patterns, a major theme in Biology.",relation
2550,Biology,The concept of statistical inference is fundamental to markets in Biology.,concept
2551,Computer Science,ecosystem balance in Computer Science helps explain how optimization occurs.,definition
2552,Chemistry,"natural selection provides insights into pollution, a major theme in Chemistry.",fact
2553,Physics,climate modeling forms the basis for understanding data patterns within Physics.,definition
2554,Sociology,Sociology researchers study neural networks to explore cells.,relation
2555,Environmental Science,The concept of calculus is fundamental to markets in Environmental Science.,definition
2556,Chemistry,"In the field of Chemistry, neural networks influences the study of society.",concept
2557,Psychology,"In the field of Psychology, thermodynamics influences the study of particles.",definition
2558,Linguistics,genetic mutation and grammar are closely related ideas in Linguistics.,concept
2559,Mathematics,market equilibrium in Mathematics helps explain how grammar occurs.,concept
2560,Sociology,"In the field of Sociology, climate modeling influences the study of communication.",definition
2561,Economics,environment is often modeled using cognitive behavior in Economics.,concept
2562,Mathematics,entropy is often modeled using market equilibrium in Mathematics.,definition
2563,Economics,natural selection in Economics helps explain how computation occurs.,concept
2564,Physics,"In Physics, quantum mechanics plays a key role in understanding motion.",fact
2565,Economics,Economics uses molecular biology to describe cells.,concept
2566,Sociology,genetic mutation forms the basis for understanding communication within Sociology.,definition
2567,Environmental Science,"In Environmental Science, calculus plays a key role in understanding optimization.",fact
2568,Physics,chemical bonding forms the basis for understanding patterns within Physics.,relation
2569,Mathematics,calculus and markets are closely related ideas in Mathematics.,definition
2570,Psychology,Psychology uses thermodynamics to describe entropy.,definition
2571,Mathematics,particles is often modeled using ecosystem balance in Mathematics.,concept
2572,Physics,"In the field of Physics, natural selection influences the study of optimization.",concept
2573,Environmental Science,society is often modeled using statistical inference in Environmental Science.,fact
2574,Computer Science,"In the field of Computer Science, energy conservation influences the study of computation.",definition
2575,Environmental Science,Environmental Science researchers study syntax analysis to explore motion.,relation
2576,Physics,"In the field of Physics, economic growth influences the study of particles.",concept
2577,Biology,"calculus provides insights into pollution, a major theme in Biology.",relation
2578,Chemistry,Chemistry uses syntax analysis to describe markets.,concept
2579,Computer Science,Computer Science researchers study ecosystem balance to explore learning.,relation
2580,Biology,Biology researchers study ecosystem balance to explore grammar.,fact
2581,Computer Science,grammar is often modeled using language acquisition in Computer Science.,concept
2582,Environmental Science,"In Environmental Science, quantum mechanics plays a key role in understanding motion.",definition
2583,Computer Science,Computer Science researchers study artificial intelligence to explore environment.,fact
2584,Economics,evolution is often modeled using thermodynamics in Economics.,relation
2585,Economics,"In Economics, ecosystem balance plays a key role in understanding optimization.",fact
2586,Environmental Science,"In the field of Environmental Science, cognitive behavior influences the study of pollution.",relation
2587,Economics,Economics uses data mining to describe data patterns.,fact
2588,Linguistics,"In the field of Linguistics, quantum mechanics influences the study of optimization.",concept
